title,comment,tags,date
Settling conflicting info about whether BP meds help or hurt the vascular system,"
			    Hi everybody, I'm new here. I'm a 63 yr old male, and started hypertension about a decade ago. Took Lisinopril, which knocked my systolic down from the 160s to the 140s for awhile. Recently, even with Lisinopril, was spiking close to 200. New Dr. added HCTZ (diuretic) which got it back under 150, but the 2 together make me ongoingly fatigued, and dizzy upon standing up. The new doc, nor anyone else, knows why I have such high BP. I'm underweight, not overweight, never drink or smoke,....
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Resting heart rate in between 53-62,"
			    My resting heart rate is in between 53-62 since last 2-3 days. I know that this may not be a problem in most cases but I am not a physically fit person. I am 38 years over weight male who takes blood pressure medicine ( Zestoretic 20 - Hydrochlorothiazide and Lisinopril ) and Anxiety medicine ( Prolexa 10 - Escitalopram ) on daily basis. I do not exercise but I do 40 minutes quick walk (brisk) for at least 4 days a week. Recently I got flu and temperature and in that period my resting heart rate....
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Afib,"
			    I have the same problem that started a week after I had a fall and popped a couple ribs on my left side. My cardiologist said that the electrical signals being produced by the heart were so fast that they were tickling the diaphragm and making me feel the need to burp. It went away shortly after but came back a few months later, long after my ribs had healed. I seem to able to trigger the afib by putting pressure on my ribs just below my left nipple or by scrunch in my shoulders down and toward the....
			","AFib
		        		            ","
				    				    over 2 years ago
				"
Heart or eyes,"
			    I am 70 years old ,I have a pacemaker for about 7 yrs.Just a few days ago I started seeing flashes in my left eye. Could it be pacemaker misfireing
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Blood pressure change,"
			    I am a 58-year-old black male 185 lbs. 8 years ago I was prescribed 20 mg of Benicar to control my high blood pressure. A few days ago my blood pressure went up. Went to the doctor they suggested I double my dosage of benicar. After three days my blood pressure did not go down. Should I expect it to have gone down by now or does it take time?
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Help I think HCTZ is actually increasing my blood pressure,"
			    Hello . I was diagnosed with high blood pressure . It runs throughout my family . In the beginning part of December I was stressed with school finals , working and on cold medicine. I had my blood pressure taken as part of my finals for nursing ; we practice vitals on each other . My blood pressure was 200/106. I spoke to my PCP and saw her the following morning . My blood pressure at office visit was 178/100. She prescribed lisinopril 20mg once a day . Two weeks later I had follow up and blood pressure....
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Weight lifting and blood pressure,"
			    Does limiting weights have a negative effect on your heart if you have high blood pressure?
			","Exercise
		        		        		            High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Stents .. how long are they good for?,"
			    I had what was described as a ""major heart attack"" in September, 2013. One name they gave it was ""the Widow Maker"". The left descending artery was completely blocked. I didn't die on the spot (obviously), and it took me 20 minutes to make the decision that I needed help. Once at the hospital and hooked up to a variety of things and blood tests run, the heart attack was confirmed. I was sent a surgical suite where a stent was successfully put in. One day in ICU, one more in....
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
About my pain,"
			    I have pain on my left side of my chest what is the reason
			",NA,"
				    				    over 2 years ago
				"
Chest pain / lightheaded,"
			    I'm keeping this brief to make this easier for people to interpret. Background info:// Born Dec 31, 2001 Gender: M Kidney op when I was 9 (kinked ureter , swollen kidney) Diagnosed w/ ""Apical Trabeculations"" (heart tissue is spongy?) Follow up appointment in one year; no action taken On stimulants and depressants Symptoms:// My heart rate is ALWAYS elevated, sometimes going as high as 160 Feels like I skip a beat sometimes Occasionally I feel a sharp pain in my upper chest; in order....
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Wild BP Swings,"
			    Does anyone have any ideas as to what can cause wild swings in Blood Pressure? I go from being extremely high over 200/100 to below 40/20. If fact have had undetectable BP & HR only to have it shoot back up. I have been in the hospital so many times I have lost count but still have no answers. Heart is supposedly fine according to several cardio docs, nothing going on with nervous system either. I am at wits end I am not even 60 yet!!
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart problems,"
			    I am a 57 year old female. I went in for a 6 month check up. They found a heart murmur sent me for more test vessel is thickening and narrowing of arteries. I have high blood pressure and fibromyalgia. They made me appointment with a heart specialist. I am worried about this. Any ideas of what going on. Heart not beating normal.
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
I'm a hypochondriac,"
			    I've been experiencing issues the past week. It started out that I thought I had a UTI. I had mild-moderate pain and discomfort in my lower abdomen and occasionally in my back. I drank lots of water and some cranberry juice, and was happy that yesterday I did not have any pain and still didn't today. But I started experiencing a new sort of discomfort today. I have mild pain/discomfort in my chest and under my collarbone. It's on the left side, under my breast and on the left side of....
			",NA,"
				    				    over 2 years ago
				"
Quick question about NPC1L1,"
			    I have been told NUMEROUS times in the US that I have a gene that I received from my father that prevent high cholesterol. I am 52 years of age and always have had LOW numbers. Per Google they are saying ""researchers found that people with one inactive copy of NPC1L1 appeared to be protected against high LDL cholesterol"" About 6 years ago I have my Gall bladder removed and due to an accident from the doctor, I had to have a blood transfusion. Today I just got my lab work back and it is....
			","Cholesterol Control
		        		            ","
				    				    over 2 years ago
				"
Is it in my genes,"
			    My dad passed from a sudden fatal heart attack , they said it is hereditary, does anyone know what it could be
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Do hypertension meds continue to lower BP after a weight loss?,"
			    I'm a 65 year old male treated with 3 meds for hypertension that lowered my BP to 115/70 range consistently. I've lost 25 pounds and walk an hour each night and my BP is now in the 105/lower 60s range. But there have been a few times when it has dropped to the middle 90s/upper 50s range and I've felt a little light headed and nauseated. I want to lose another 15 pounds, but will the meds keep driving my BP lower?
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
chest discomfort,"
			    Back in September 2016 I started having what felt like swelling in my mouth and tongue pain and well as a feeling that I was choking. No one could find anything wrong. I went to multiple ENT, MRI nothing. In January I had an upper endoscopy. I had eosinophilic esophagitis, gerd, small hiatal hernia and multiple erosions in the stomach that were bleeding. Never had stomach pain go figure. I was on omeprazole for about 8 days then I stopped it. I had a VERY hard pound in my chest. No idea what it was....
			",NA,"
				    				    over 2 years ago
				"
Chest pain,"
			    I have double congestive heart failure, tachycardia,and Cardiomyopathy. I just found out about all of this 8 months ago. I went to ER with what I thought was a panic attack and toothache and was told I was going to die and given my new diagnosis and spent 3 days in ICU and 9 in cardiac care. I left the hospital with my heart only functioning at 18 percent. Since then I have tried numerous medications and had tons of procedures. I am currently waiting to have a difficulties put in my heart Wich is....
			","High Blood Pressure
		        		        		            Heart Failure
		        		            ","
				    				    over 2 years ago
				"
Just want someone to give me answers,"
			    This has been going on for some time now. Years in fact. I can’t seem to pinpoint what caused it to start, but it’s really causing me problems in my day to day life. I have had an echo, stress test, chest x-ray, holter and a zio. The cardiologist says I have pvcs and that my pulse gets low at night (50’s) and released me because there were no major issues. The problem is that I have several days out of the month (sometimes several a week) where I have to talk myself out of going to the ER. I have....
			",NA,"
				    				    over 2 years ago
				"
"Chest Pains, over one month","
			    I've been having chest pains at rest for the past 6 weeks. The pains are either in the center or the left side of my chest, beneath my rib cage. I feel constant pressure, and it's difficult to breathe deeply. It hurts even worse when I lay flat on my back or on my right side, but it's difficult to get comfortable at all, honestly. I have shortness of breath, and I get dizzy/ light headed sometimes. The pain shoots down my left arm. My left arm was numb and tingling for a few hours on....
			",NA,"
				    				    over 2 years ago
				"
Chest pain/discomfort in an 18 year old,"
			    Hello, I am 18 and have been experiencing this dull pain/tension in my chest for the past several months. It occurs in the dead center of my chest and on the left side spreading all the way to my armpit area. I haven’t really had any pain or numbness in my arm. It also seems that my heart is beating harder than usual. I ended up going to the ER and they said that my EKG, blood work and x-ray were normal and suggested chest wall pain or anxiety to be the case. Well, that was about a week ago, I am....
			",NA,"
				    				    over 2 years ago
				"
"Recurring chest pains, Should I be worried?","
			    Hey, I've been having chest pains a lot lately and I can't tell if its my heart or if I should be worried. Its happened before and I assumed it was anxiety, but its been happening a lot lately and lasts longer than before. I also usually have pain in my upper back when it happens, and one time my left arm. The one time it was my left arm I called an ambulance worried about a heart attack, but they hooked these wires up to my chest and looked at this screen and said it looked fine and it was....
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Chf,"
			    Hello, I am 21 year old male, history of light smoking and drinking, and active lifestyle with cardio/weights 4 nights a week. This week I was diagnosed with congestive heart failure after being admitted into the hospital from my GP. I had been to the GP for what I thought to be asthma symptoms and upper abdomen pain, shallow breathing and hyperventilating. With a resting heart rate of 165bpm and a blood sugar level of 2.2,after a series of ECHOs, MRIs, X-rays and ultrasounds it was apparent that....
			","Heart Failure
		        		            ","
				    				    over 2 years ago
				"
Heart problem,"
			    Okayguys so I’ve had this problem for about 5-6 years now. I’m 19 years old and am very active I’ve played sports all my life. Back then when I first started feeling these discomforts I would worry but it went away after about 5 Min so then I would be back to normal. Okay so here is what happens... at rest my heart rate is 53 bpm... which is low for my age... but when I exercise or run for instance out of no where with no warning I will get an immediate shock of a rapid heart beat. The feeling is....
			","Exercise
		        		        		            High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Missing meals and tachycardia,"
			    Hi, I am a 23 year old female suffering from health anxiety. I am anxious about my heart and obsessed with checking my pulse rate. I suffer from heart palps almost everyday but I have noticed that my thoughts are mostly angry or negative. I lost my father an year ago. My heart rate can go up to 130-149 sometimes. Doctors say it's just anxiety not a heart issue and I have been taking metoprolol 25mg a day. Also I sleep very late and wake up very late so there is a 16-18 hour gap between dinner....
			","Diet
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart problems. I think. Please lend me your aid.,"
			    1a. Almost 6 months ago I started experiencing heart palpitations that seemed to be escalating in severity. 1b. To solved the remedy I tried meditation and exercise, getting my mind off it. My mind was what seemed to be making it feel more like a heart attack and that made me feel worse 2a. 4 months ago after meditation stopped helping and exercise was being interrupted by extremely debilitating heart palpitations I did as much research as I could and came to the conclusion that I was iron deficient....
			","Exercise
		        		        		            Diet
		        		            ","
				    				    over 2 years ago
				"
2 Stupid Easy Heart Attack Survivor Exercises,"
			    I am a 40 year heart attack survivor who finally came to terms with my condition and wanted to offer my personal experience with recovery to help others who have gone through or getting ready to go through heart surgery. First of Heart Surgery recovery is not fun. Which you can read more about on my blog. Once you begin recovery, I can not emphasize this enough. Take your medicine and Stay Active. Even if is just doing laps around your house. The more active you are, the quicker and easier recovery....
			","Exercise
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Low Blood Pressure??,"
			    Hello, I realize this is a board for high blood pressure but I can't seem to find one for low blood pressure. Low blood pressure runs in my family, and on a good day, my blood pressure is usually 100/58, on the lower side. Anyway, I get so lightheaded, just by sitting there. When I run on a hot day, the sky starts to ripple and I can only go so far. I get tunnel vision and everything is blurry and I feel weightless. It's gotten to the point to where my knees give out occasionally and barely....
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
"Top Left Side pain, and very uncomfortable","
			    Hello, Im 16 years old and iv been having pain in my top left side of my chest almost under my arm. It started almost a month back and its been super uncomfortable. Some days it hurts and some days it doesn't. They did blood work and they did x rays and everything came back fine and they told me to take ibuprofen every day but some days it just doesn't help. And it is really hurts when i pick things up or move things with my left arm. and it almost feels like it is pushing up on my side and....
			",NA,"
				    				    over 2 years ago
				"
Weird chest pains,"
			    Hey so I am 15 years old and male and about a month ago i started to experience these weird chest pains. nothing unbearably painful, just enough pain for it to be annoying. I live in a colder climate and have had this pain in the left side of my chest that tends to creep up more when i’m outside. it comes and goes, but lately, it’s been more frequent (20+ times a day). it usually only lasts a few seconds and then i’m fine. but my hands are constantly a purple color and very cold. i’ve tried using....
			",NA,"
				    				    over 2 years ago
				"
It's about a concern for why I cannot have my grapefruits,"
			    It's not a post , It's a concern . I love my grapefruits and I was just so happen to be reading the instruction on my bottle of simvastatin and realize that i'm not supposed to be eating grapefruits with this medication and I wanted to know why ?
			","Cholesterol Control
		        		            ","
				    				    over 2 years ago
				"
Afib and over sleeping,"
			    My mom recently had a pacemaker defibrillator device implanted. She is having a tough time recovering and after some family trauma was shocked several times within a week. She has seen her doctor and has not had another shock in 2 weeks. My question is this.. she is sleeping 11-14 hrs a day. Is this a symptom of her heart disease or should we be concerned?
			","AFib
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Do I have a heart problem?,"
			    Hi everyone I could really use some advice. I appreciate this isn't directly related to a heart attack, but I'm worried about one. Bit of background, I'm 21, male, I'm not overweight but I'm not particularly fit and my blood pressure is slightly raised at 135/90. I do have a family history of coronary heart disease on both sides. 18 months ago, I was taken into A&E with discomfort in my chest, a sort of pressure with an occasional shooting pain, my ECG was apparently ever....
			","Exercise
		        		        		            High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Blood pressure and stroke,"
			    I'm a 56 year old female, nurse and not ignorant. I've had chronic hypertension for some years now, barely manageable by PCP who told me that pressures of 180's/110's weren't high enough to cause a CVA.... am I missing something here? My average blood pressure on 2 different meds is 150/90.
			","High Blood Pressure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 2 years ago
				"
Elevated heart rate,"
			    I am nearly 40, overweight (5'7 and 250lbs), and have been diagnosed with an underactive thyroid within the last year. I have been taking meds for this since diagnosis, and my thyroid rate has leveled out, however, I have trouble staying asleep at night, thus I take 1 Tylenol pm before bed and I sleep great. Usually a full 8 hours. I recently got a smart watch that regularly records my sleep habits, steps, heart rate etc. and my heart rate is regularly around 85-90 during the day. Only at night....
			",NA,"
				    				    over 2 years ago
				"
My son (33 years old) has been having some very concerning symptoms.,"
			    My son has been experiencing some very concerning symptoms, over the past couple of months. They include: chest and abdominal pain/discomfort, increased heart rate (about 100 or so), constant strong urine smell, difficulty sleeping, and a new recent one of white film on tongue. He does not have good insurance (Affordable Care Act), but has had his blood and urine tested. No bladder or kidney infections were found. Any suggestions?
			",NA,"
				    				    over 2 years ago
				"
EKG test - can it tell WHEN (what year) a Q Wave happened?,"
			    I have a Q wave on my EKG. I know it is at least a few years old but I need to know, as closely as possible, what year the Q wave happened. Does anyone know if an EKG can tell you this info and if not, how can I find out? thanks.
			",NA,"
				    				    over 2 years ago
				"
I am worried about my heart!,"
			    So I have recently noticed I have what I believe to be heart palpatations. It appears that my heart is beating two times every beat. I have had sleep apnea for a while as well as severe anxiety and stress. I tend to be a bit of hypochondriac but my heart just feels a bit weird and I would like to know if I should be very worried
			",NA,"
				    				    over 2 years ago
				"
Low cholesterol HDL,"
			    Hello guys, recently had some blood work done. The doctors nurse called me today while I was at work and told me that my cholesterol HDL I think that’s the name was low at 44 and said I needed to do aerobics! I’m very fit and very active so I already do aerobics. I read on this and i saw that doing a low carb high fat diet will help elavate your Cholesterol. How low should I go for carbs and how high for fats?? I’ve gained about 10lbs and need my health to be better. Thanks in advanced
			","Diet
		        		        		            Cholesterol Control
		        		            ","
				    				    over 2 years ago
				"
Heart Health,"
			    60 year old woman. When i exercise my heart rate rises to 160 bpm. At that high rate i don't feel over tired only slightly out of breath. Is there a problem?
			",NA,"
				    				    over 2 years ago
				"
"At a loss, need input. Please","
			    I‘m a 27 going on 28 year old Caucasian male 6’2” 294 pounds (Down from 315, making slow but steady progress) Since July of 2017 I’ve been dealing with dizziness, balance issues (often feels like I’m swaying) faint feeling and weakness, chest pain both sides but more frequently over the heart and under the left side breast, palpations, fast heart rate, extreme shortness of breath, and headaches. I’ve seen my primary care doctor, a neurologist and a cardiologist. I’ve had a comprehensive and basic....
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Sudden heart acceleration at 19,"
			    Hi, so lately ive been feeling ocasional discomfort on my chest, nothing serious But this morning suddenly my heart was extremely accelerated during 5 seconds or so. I was very scared and i still am. Then it went back to normal but i still have some discomfort. Im overweight and been consuming a lot of coffee lately. Could this be it or could it be something serious? Thanks in advance
			",NA,"
				    				    over 2 years ago
				"
First time cocaine use...,"
			    Thank you for reading this. I have made a stupid mistake and hope I am not permanently damaged for it. I went out to a party on the weekend and did a couple of lines of cocaine and drinking. I know this is incredibly stupid but nonetheless. The day afterwards I was lying in bed and began to have heavy heart palpitations. I stayed in bed and eventually after an hour they started to subside. It's now been three days later and I feel fluish, slight headache, small palps every now and then and very....
			",NA,"
				    				    over 2 years ago
				"
High Blood Pressure,"
			    A couple of days ago I had an episode where my vision blurred and I got really dizzy, this went on for about 5 minutes. In hindsight I should have gone to the hospital right away but Im damn stubborn. Regardless, I checked my blood pressure for the first time in probably 6 years and it was extremely high (153/100, target was 90/60). I'm 28 and 190 lbs. This is following a rough year of some pretty heavy drinking. After doing some internet reading I starting loading the potassium magnesium and....
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
CAD - How fast can a 40% blockage  Become more blocked,"
			    I have a stent placed in my LAD it was 90% I have 2 more at 40% and some lower Just how fast can these other Blockages become worse say 60% 80% Thanks
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Blood Pressure,"
			    I’m confused and frustrated. I’m 34, with high blood pressure. My morning reading averages 149/92 with me being on 5mg of amlodipine. I do drop to 135/72 for my afternoon reading. I’m physically fit, eat healthy and cut drinking alcohol out to see if it could lower my BP. Nothing has worked. There is no history of high BP in my family. I’ve done a stress test on EKG and nothing has shown up. Any ideas? I’m desperate.
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart rate,"
			    Hi, my name is Sara and I am 19 yrs old. I take metoprolol 25 mg for tachychardia and I recently got over a stomach flu that caused me to violently commit all night. Today I feel dizzy and when I stand my heart rate gets up to 140 bpm. When I am lying down it is at 103bpm. I am worried something is wrong because of my dizziness and shortness of breath. Not really any chest pain or sweating. I also take vyvanse 30mg for add.
			",NA,"
				    				    over 2 years ago
				"
High Heart Rate When Standing or Running and Possibility of POTS?,"
			    Hello, I'm a 14 year old kid who takes health as a priority. I take daily omega 3 fats and eat a moderately healthy diet. I average a heart rate of 60-70. Dips between 55-60 when I'm really calmed. All within when I'm sitting, however goes up to 95-105 when I stand or 108-115 when I walk all according to my Apple Watch. Along with that when I exercise fairly moderately my heart rates jumps to 175-182. I've had 2 EKGS within the past 3 months which all came back normal. I'll like....
			",NA,"
				    				    over 2 years ago
				"
Sharp pain in the heart side in a teenager boy.,"
			    My son is 17 yo, he's been feeling sharp pain in the lower part of his left chest (Heart) for 3 years. It happens every couple of days or weeks ""WHILE RESTING"", and lasts for 15 minutes. Sometimes it's so sharp that he finds difficulty breathing. At the same time, he can left heavy stuff or practice in gym for an hour without feeling pain other than the usual for someone who hasn't been active for years. What can this be? Unstable angina? But he can do exercise without feeling....
			",NA,"
				    				    over 2 years ago
				"
Cytomegalovirus (CMV) Concern,"
			    I am a 20 year old male; don't smoke and have a healthy diet. A few weeks ago, I was suffering from bad swollen tonsils, bad sore throat, small fever, and chills (Chills were accompanied with smaller veins on my hands and feet; smaller than usual). I tested negative for strep and negative for mono, but my primary doctor suggested that I had CMV. My blood pressure was a little higher than usual, but my doctor did not see it as a problem (I am in the average range for vitamin/blood levels; overall....
			","High Blood Pressure
		        		        		            Diet
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
HBP,"
			    I've been checking my BP at home for the past 5 months. Can anyone tell me why my numbers are always higher in my right arm?
			",NA,"
				    				    over 2 years ago
				"
Triglyceride question,"
			    I am a male 37 years old. In what I thought was perfect health. Workout 2-3 hours a day, eat a good diet, take plenty of supplements. I have a yearly blood test for work. The last 3 years my triglycerides were 102, 100 and suddenly 305 this year. Is this possibly a false reading. My blood pressure was 119/61, BMI 20, Total Cholesterol 173, HDL 60, LDL 52 and non fasting glucose 94. This test was after the thanksgiving holiday. I ate like crap for about 5 days and drank a massive amount of alcohol....
			","Cholesterol Control
		        		            ","
				    				    over 2 years ago
				"
Anticoagulants,"
			    How long pre and post cardioversion is Pradaxa recommended? In 9 days i will undergo 2nd cardioversion in 11 mos.
			","AFib
		        		            ","
				    				    over 2 years ago
				"
Pacemaker Functions,"
			    Can a pacemaker function and keep a heart beating even when a patient has been declared brain dead and taken off a vent? If so, how long would the pacer have the ability to keep the heart functioning?
			",NA,"
				    				    over 2 years ago
				"
Understanding  ECG,"
			    Hello, I had an ECG, no one stated anything about it. This is what the upper left hand stated. Vent Rate Vent Rate 77 bpm (heart rate?) PR interval 156 ms QRS duration 142 ms QT/QTc 460/520 ms P-R-T 0 0 47 all it stated was abnormal ECG and RBBB. To me those numbers look good, I'm going to have foot surgery but needed to have an ECG? Would anyone tell me what all of this means, then if I need to contact the doctors office I will be able to sound I know what I am saying
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Weaning off Metoprolol,"
			    Female, 21. Been on Metoprolol ER for about 5 months for HBP. Started off with 100mg, and then 50mg, and then 25mg (it would lower my BP too much). However, my blood pressure would still occasionally spike and my cardiologist told me to that I can take up to 100mg if needed. I'm basically bouncing between dosages right now and took 75mg last night. I do not believe that this is healthy or helping me in the slightest and I think have some kind of thyroid issue. After reading more about the medication....
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Inexplicable heart palpitations help,"
			    I keep getting heart palpitations. I'm 23, female, no known heart problem. I do suffer from anxiety and have been to the ER before several times because of chest pains etc. and I've had ECGs done where everything seemed fine. Last one was about 7 months ago. But for the past few months I've been getting these palpitations quite frequently, and at random times. I don't drink caffeine at all, I don't smoke, and I only drink alcohol ocasionally. They seem to appear more if I'm....
			","Exercise
		        		        		            AFib
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart palpitations and drinking alcohol,"
			    So I’m 18 and was told a couple years ago I have paroxysmal atrial tachycardia. For 2 years I was fine and had what felt like a skipped beat here and there. I had a lung infection and was on lots of antibiotics and puffers and steroids you name it...and my hearts been pounding and acting strange for like 2 weeks. It’s starting to get a little better maybe. I drink maybe 3times a year and go all out and get hammered. New Years is in a week and I really want to have fun and drink...but is it dangerous....
			","AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Do I have a heart problem if it beats really fast sometimes?,"
			    Sometimes, when I play sports, I tend to be anxious and excited, and usually upon impact, my heart suddenly starts to beat very fast (by very fast I'm talking way beyond my heart range, like 280+BPM) and strong. When it happens, I get a little dizzy and start seeing dots in front of me. I also get chest and back of neck pain. Usually when this happens I sit down and breathe normally until it stops 10-15 minutes later. The problem is that it doesn't gradually decrease or increase into this....
			",NA,"
				    				    over 2 years ago
				"
"What's the difference between flutter, palpitation, etc.","
			    I have been reading about these issues for a long time but it is still unclear to me what is the difference between a heart flutter, a palpitation, etc.? Or is it only perception? Would it be misinterpreted if I go to a cardiologist?
			",NA,"
				    				    over 2 years ago
				"
Irregular heartbeat,"
			    My heart will flutter and skip beats. This what I call episode lasts anywhere from 5 minutes to several hours. Happening several days a week. Along with this I have pitting edema in my legs mainly the right leg. This started over a year ago very subtly. Increasingly gotten worse over the last few months. so I went to a Cardiologist last week. Had blood work done showing that I have anemia. Kidneys and liver operating well. My echo was normal my stress test was great I was a 13.5. I wore a 24-hour....
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Sudden Death,"
			    My grandfather, aged 71, passed away last Friday. At around 2:30 in the afternoon, we found him lying on the bathroom floor. There was poop on the toilet bowl so he actually still did his bathroom business. We do not know how long he has been there for. But earlier in the morning, he was still fine and ate breakfast. Even though many of us assumed he was already dead, he was rushed in the hospital as they revived him for the next 30 minutes... however, he was declared as “Death on Arrival” and there....
			","Heart Failure
		        		        		            Heart Attack
		        		            ","
				    				    over 2 years ago
				"
"Elevated J point, ST elevation - asymptomatic","
			    I am 37 yo and 180 lbs. I had a ECG during a physical today at an urgent care/occupational health clinic, and was told it was abnormal. High J point. I have no prior cardiac history and no history of abnormal ECG. My last ECG was 10 years ago. I have not SOB and no angina. Elevation is
			",NA,"
				    				    over 2 years ago
				"
Medical Misconduct during Cardiopulmonary Exercise Test?,"
			    This happened years ago, but I wanted to hear your opinions whether what felt like a sexual misconduct by a doctor was indeed one. It happened during a cardiopulmonary exercise test. I had a few of those done and usually it was fine to keep my bra and sometimes also my shirt on, as well as my pants. The only time a doctor departed from this norm was when he asked me to take off my bra and jeans and get on a bike like that. It made me feel uncomfortable, so I asked if I could keep my bra on. He said....
			",NA,"
				    				    over 2 years ago
				"
How likely is it that I have an aneurysm?,"
			    Hi, I'm a 21 year old girl. I've been in a small car accident for abt 2 months ago, I was walking across the street when I was hit by a bus on my left side in max 20mph. I only got rib fracture, but can I get a thoracic aneurysm? I got small sternal pain on the left side that comes and goes,its very diffuse and I'm scared it's a rapid growing aneurism
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Burning/pressure in throat for past two days?,"
			    On Tuesday night, my neck went numb/had a novocaine feeling on the left side and stayed that way for 3 hours. It went away after I woke up at 3:00 AM. The next day, when I woke up, the novocaine feeling/numbness was mostly gone but there was still a sensation on the side of my throat and between my collarbones. Later Wednesday night, after I ate my dinner (fish sticks, pierogies, macaroni and cheese and soda) i started getting a burning feeling in my throat, about 8:30-9:00 PM. Yesterday, the burning....
			",NA,"
				    				    over 2 years ago
				"
Extreme Pain Last Night in Solar Plexus?,"
			    I'm a male, 32, 6' about 210 lbs. I was woken up last night at about 1AM with an extreme pain in my solar plexus that I'd never felt before. It's kind of difficult to describe except that it was in the solar plexus area. Not a gas type pain. It was like someone was wringing or stabbing the area where my esophagus met my stomach or something. It was absolutely debilitating and brought me to my knees. It felt like something was really wrong. I stood up and stretched my arms over my....
			",NA,"
				    				    over 2 years ago
				"
Rib/breast pain,"
			    Im a 17 year old female, for the past month i have been having pain in my left lower rib cage that radiates to my breast which causes nipple pain and also all down my left side aswell as the left side of my back. When i press the painful part of my ribs i feel a hard, bone like bump. The pain in my breast however is more of a burning pain an it id worrying me alot. Ive been to a&e and had multiple blood tests, chest x rays and ECGs which have all came back fine. I am due my period in a couple....
			",NA,"
				    				    over 2 years ago
				"
Heart health and anxiety?,"
			    Can anxiety feel like you have heart issues? I’ve done multiple EKG’s in the past, with most of them reading “normal”. But a couple of them read “abnormal LVH”. I’ve done a little research, and what I gained was that LVH is basically a enlarged valve. I followed up and did a ultrasound of my heart, and everything came back as normal. A couple things worry me though. 1- my blood pressure sometimes spikes to 140/73. I know the bottom number is good, but the top number is not. However I am always extremely....
			","Exercise
		        		        		            High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
BP and heart rate have been elevated since PE,"
			    on Oct.21 2 pulmonary embolisms were found in my right lung and ever since my heart rate and BP have been up. My heart rate on a daily basis has been 113-135. I've struggled with sever depression since the clots were found, too. I had a baby march 3 2015 and gained a lot of weight. I'm now 180 and yes I am a smoker no I don't drink because I'm not able to while on the med's I'm currently taking. I'm currently prescribed to Eliquis, MetFormin, Lamictal, Olanzapine, Klonopin....
			",NA,"
				    				    over 2 years ago
				"
Personality change after  heart attack,"
			    Today marks 1 year since my dad had a heart attack...He had the angiogram and he had 99% blockage in the ""widowmaker""! They said he is lucky to be alive...he had just turned 60. His personality made a 360...he became angry, short tempered,extremely forgetful, no motivation, tired essily,argumentative, secretive! I work for my dad and I have managed the company for 10 years. I was to continue to run the business with my brother in his demise. ..7 months after the heart attack we find out....
			",NA,"
				    				    over 2 years ago
				"
